Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Masaka Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,3.64,3.59,3.56, 98.5%, 97.8%, 99.3%
Masaka Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 2.57,2.51,2.47,97.6%, 96.1%,98.5%
Masaka Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.11,0.11,0.12,99.7%,108.4%, 108.7%
Masaka Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.01,0.01,N/A, N/A, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.00,0.00,0.01, 100.0%,118.8%, 118.8%
Masaka Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.01,0.01,0.01, 100.0%, 92.7%,92.7%
Masaka Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01, 100.0%, 96.8%,96.8%
Masaka Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.01,0.01,0.01, 105.3%,100.0%,95.0%
Masaka Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.03,0.03,0.03, 100.0%, 99.0%,99.0%
Masaka Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.16,0.16,0.16, 100.0%, 99.9%,99.9%
Masaka Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.01,0.01,0.01, 100.0%,108.0%, 108.0%
Masaka Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00,66.7%, 50.0%,75.0%
Masaka Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.03,0.03,0.03,91.8%, 97.1%, 105.7%
Masaka Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00,99.8%, 99.9%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,222003  Information and communications technology (ICT),0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.20,0.20,0.20, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,GoU Expenditure by Item,223006  Water,0.03,0.03,0.03, 100.0%,100.0%, 100.0%
Masaka Referral Hospital,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.01,0.01,0.01, 100.0%,101.9%,101.9%
Masaka Referral Hospital,Highlights of Vote Performance,224002  General Supply of Goods and Services, 0.00,0.00,0.00,N/A, N/A,0.0%
Masaka Referral Hospital,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.09,0.09,0.09, 100.0%, 99.2%, 99.2%
Masaka Referral Hospital,Highlights of Vote Performance,"224005  Uniforms, Beddings and Protective Gear", 0.07,0.07,0.07, 100.0%, 95.5%, 95.5%
Masaka Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.05,0.05,0.05,99.6%,101.9%,102.3%
Masaka Referral Hospital,Highlights of Vote Performance,227002  Travel abroad,0.01,0.01,0.01, 100.0%,101.7%,101.7%
Masaka Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.10,0.09,0.10,98.1%,102.1%,104.0%
Masaka Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.02,0.02,0.02, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.03,0.03,0.03, 100.0%,100.8%,100.8%
Masaka Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.04,0.04,0.04, 100.0%,102.4%,102.4%
Masaka Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 1.10,1.10,1.10, 100.0%,99.9%,99.9%
Masaka Referral Hospital,Highlights of Vote Performance,231001  Non Residential buildings (Depreciation), 0.68,0.68,0.70, 100.0%,102.6%,102.6%
Masaka Referral Hospital,Highlights of Vote Performance,231002  Residential buildings (Depreciation), 0.17,0.17,0.17, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,231007  Other Fixed Assets (Depreciation),0.05,0.05,0.05, 100.0%, 99.7%, 99.7%
Masaka Referral Hospital,Highlights of Vote Performance,281501  Environment Impact Assessment for Capital Works,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,281502  Feasibility Studies for Capital Works,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,281503  Engineering and Design Studies & Plans for capital, 0.10,0.10,0.10, 100.0%, 99.7%, 99.7%
Masaka Referral Hospital,Highlights of Vote Performance,"281504  Monitoring, Supervision & Appraisal of capital wor", 0.08,0.08,0.06, 100.0%, 75.9%, 75.9%
Masaka Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.01,0.01,0.01, 100.0%,100.0%,100.0%
Masaka Referral Hospital,Highlights of Vote Performance,Grand Total:,4.75,4.69,4.67, 98.9%, 98.3%,99.4%
Masaka Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.74,4.69,4.66, 98.9%, 98.3%,99.4%
Masaka Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.74, 4.69, 4.66,98.9%, 98.3%,99.4%
Masaka Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Masaka Referral Hospital Services,3.63, 3.58, 3.55,98.6%, 98.0%,99.4%
Masaka Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Masaka Referral Hospital Internal Audit,0.01, 0.01, 0.01,75.8%, 52.4%,69.1%
Masaka Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Masaka Rehabilitation Referral Hospital,1.10, 1.10, 1.10, 100.0%, 99.9%,99.9%
Masaka Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.74,4.69,4.66,98.9%, 98.3%,99.4%
Mbale Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,6.69, 6.76,5.82, 101.1%, 87.1%, 86.2%
Mbale Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,6.69, 6.76,5.82, 101.1%, 87.1%, 86.2%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services,6.51,6.66,5.78, 102.4%,88.8%,86.7%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided,5.71,5.94,5.38, 104.2%,94.2%,90.4%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services,0.61,0.92,0.61, 151.4%, 101.0%,66.7%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services, 0.40,0.42,0.41, 104.5%, 102.1%,97.6%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services, 0.08,0.08,0.07, 100.0%,92.4%,92.4%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services,4.54,4.45,4.24,98.0%,93.5%,95.5%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services,0.06,0.06,0.03, 101.7%,43.0%,42.3%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services, 0.02,0.02,0.01,88.6%,45.3%,51.1%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases, 0.80,0.72,0.40,90.0%,49.9%,55.5%
Mbale Referral Hospital,GoU Releases and Expenditure by Output,085683 OPD and other ward construction and rehabilitation,0.80,0.72,0.40,90.0%,49.9%,55.5%
Mbale Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote,6.51,6.66,5.78, 102.4%,88.8%,86.7%
Mbale Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,5.71,5.94,5.38, 104.2%,94.2%,90.4%
Mbale Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 3.83,3.76,3.67,98.2%, 96.0%, 97.7%
Mbale Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.16,0.16,0.16, 101.8%,100.4%, 98.6%
Mbale Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.03,0.00,N/A, N/A,0.0%
Mbale Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.0%, 99.7%, 99.7%
Mbale Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.01,0.01,0.01, 100.0%,100.0%,100.0%
Mbale Referral Hospital,GoU Expenditure by Item,213004  Gratuity Expenses,0.00,0.28,0.00,N/A, N/A,0.0%
Mbale Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01, 100.0%,123.0%,123.0%
Mbale Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.03,0.03,0.02, 100.0%, 83.5%, 83.5%
Mbale Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.05,0.05,0.05, 100.0%, 97.8%, 97.8%
Mbale Referral Hospital,GoU Expenditure by Item,"221005  Hire of Venue (chairs, projector, etc)", 0.01,0.01,0.00, 100.0%, 25.0%, 25.0%
Mbale Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%, 88.8%, 88.8%
Mbale Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.01, 100.0%, 69.2%, 69.2%
Mbale Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.04,0.04,0.03, 100.0%, 74.6%, 74.6%
Mbale Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.07,0.07,0.06, 102.3%, 88.9%, 86.9%
Mbale Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.06,0.06,0.05, 100.0%, 80.6%, 80.6%
Mbale Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.02,0.02,0.01, 100.0%, 72.9%, 72.9%
Mbale Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00, 0.0%,0.0%, N/A
Mbale Referral Hospital,GoU Expenditure by Item,221016  IFMS Recurrent costs, 0.02,0.02,0.01, 100.0%, 50.0%, 50.0%
Mbale Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.01,0.01,0.01, 100.0%, 85.2%, 85.2%
Mbale Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 100.0%, 46.5%, 46.5%
Mbale Referral Hospital,GoU Expenditure by Item,222003  Information and communications technology (ICT),0.02,0.02,0.01, 100.0%, 48.3%, 48.3%
Mbale Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.02,0.02,0.01, 100.0%, 74.9%, 74.9%
Mbale Referral Hospital,GoU Expenditure by Item,223003  Rent � (Produced Assets) to private entities, 0.01,0.01,0.01, 100.0%, 52.5%, 52.5%
Mbale Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.00,0.00,0.00,75.0%, 68.3%, 91.0%
Mbale Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.20,0.21,0.21, 105.5%,105.5%,100.0%
Mbale Referral Hospital,GoU Expenditure by Item,223006  Water,0.15,0.16,0.15, 103.8%, 97.1%, 93.5%
Mbale Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.02,0.01,0.01,84.1%, 57.9%, 68.9%
Mbale Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.13,0.13,0.14,98.4%,101.8%,103.5%
Mbale Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.06,0.06,0.04, 100.0%, 70.8%, 70.8%
Mbale Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term, 0.12,0.12,0.09, 100.0%, 78.3%, 78.3%
Mbale Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.06,0.06,0.05, 100.2%, 85.3%, 85.2%
Mbale Referral Hospital,GoU Expenditure by Item,227002  Travel abroad,0.01,0.01,0.01, 100.0%,103.5%,103.5%
Mbale Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.10,0.11,0.11, 115.6%,111.6%, 96.5%
Mbale Referral Hospital,GoU Expenditure by Item,228001  Maintenance - Civil,0.11,0.11,0.10, 100.0%, 91.9%, 91.9%
Mbale Referral Hospital,GoU Expenditure by Item,228002  Maintenance - Vehicles, 0.04,0.04,0.03, 100.0%, 72.7%, 72.7%
Mbale Referral Hospital,GoU Expenditure by Item,"228003  Maintenance � Machinery, Equipment & Furniture", 0.28,0.25,0.25,89.8%, 88.2%, 98.2%
Mbale Referral Hospital,GoU Expenditure by Item,228004  Maintenance � Other,0.04,0.04,0.04, 100.0%, 89.9%, 89.9%
Mbale Referral Hospital,GoU Expenditure by Item,Output Class: Capital Purchases, 0.80,0.72,0.40,90.0%,49.9%,55.5%
Mbale Referral Hospital,GoU Expenditure by Item,231001 Non Residential buildings (Depreciation), 0.80,0.72,0.40,90.0%,49.9%,55.5%
Mbale Referral Hospital,GoU Expenditure by Item,Output Class: Arrears, 0.03,0.03,0.00, 100.0%, 0.0%, 0.0%
Mbale Referral Hospital,GoU Expenditure by Item,321612 Water arrears(Budgeting), 0.02,0.02,0.00, 100.0%, 0.0%, 0.0%
Mbale Referral Hospital,GoU Expenditure by Item,321614 Electricity arrears (Budgeting),0.00,0.00,0.00, 100.0%, 0.0%, 0.0%
Mbale Referral Hospital,GoU Expenditure by Item,Grand Total:,6.53,6.69,5.78, 102.4%,88.4%,86.3%
Mbale Referral Hospital,GoU Expenditure by Item,Total Excluding Taxes and Arrears:,6.51,6.66,5.78, 102.4%,88.8%,86.7%
Mbale Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 6.51, 6.66, 5.78, 102.4%, 88.8%,86.7%
Mbale Referral Hospital,Highlights of Vote Performance,01  Mbale Referral Hospital Services,5.32, 5.59, 5.05,105.1%, 94.8%,90.2%
Mbale Referral Hospital,Highlights of Vote Performance,02  Mbale Referral Hospital Internal Audit,0.02, 0.02, 0.02, 82.7%, 81.1%,98.1%
Mbale Referral Hospital,Highlights of Vote Performance,03  Mbale Regional Maintenance,0.36, 0.33, 0.31, 92.2%, 86.2%,93.5%
Mbale Referral Hospital,Highlights of Vote Performance,1004 Mbale Rehabilitation Referral Hospital,0.80, 0.72, 0.40, 90.0%, 49.9%,55.5%
Mbale Referral Hospital,Highlights of Vote Performance, Total For Vote,6.51,6.66,5.78,102.4%, 88.8%,86.7%
Soroti Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,4.61, 4.69, 4.58,101.9%,99.5%, 97.7%
Soroti Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,4.61, 4.69, 4.58,101.9%,99.5%, 97.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 4.56, 4.65, 4.54, 101.9%, 99.5%, 97.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 3.76, 3.85, 3.74, 102.3%, 99.4%, 97.2%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 0.31, 0.41, 0.42, 132.4%,137.3%,103.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.27, 0.27, 0.25, 100.0%, 93.2%, 93.2%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.03, 0.03, 0.03, 100.4%,105.9%,105.5%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.04, 0.04, 0.04,99.6%, 99.6%,100.0%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 2.90, 2.89, 2.79,99.5%, 96.2%, 96.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.04, 0.04, 0.05, 100.5%,102.5%,101.9%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.17, 0.17, 0.16, 100.0%, 93.2%, 93.2%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,0.80, 0.80, 0.80, 100.0%,100.0%,100.0%
Soroti Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.80, 0.80, 0.80, 100.0%,100.0%,100.0%
Soroti Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 4.56, 4.65, 4.54, 101.9%, 99.5%, 97.7%
Soroti Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,3.76,3.84,3.74, 102.2%,99.4%, 97.2%
Soroti Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 2.67,2.65,2.57,99.4%, 96.2%,96.8%
Soroti Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.07,0.07,0.07, 100.0%,102.2%, 102.2%
Soroti Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.02,0.00,N/A, N/A,24.5%
Soroti Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.00,0.00,0.00,65.6%, 65.6%, 100.0%
Soroti Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00,65.4%, 65.4%, 100.0%
Soroti Referral Hospital,GoU Expenditure by Item,213004  Gratuity Expenses,0.00,0.07,0.07,N/A, N/A,98.8%
Soroti Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.02,0.02,0.02, 100.0%, 92.0%,92.0%
Soroti Referral Hospital,Highlights of Vote Performance,221002  Workshops and Seminars, 0.01,0.01,0.01, 102.1%,102.1%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,221003  Staff Training, 0.02,0.02,0.01, 100.0%, 90.7%, 90.7%
Soroti Referral Hospital,Highlights of Vote Performance,"221005  Hire of Venue (chairs, projector, etc)", 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.02, 100.0%, 91.4%, 91.4%
Soroti Referral Hospital,Highlights of Vote Performance,221009  Welfare and Entertainment,0.03,0.03,0.03, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,221010  Special Meals and Drinks, 0.02,0.03,0.03, 133.2%,137.8%,103.4%
Soroti Referral Hospital,Highlights of Vote Performance,"221011  Printing, Stationery, Photocopying and Binding", 0.05,0.05,0.04, 100.0%, 88.0%, 88.0%
Soroti Referral Hospital,Highlights of Vote Performance,221012  Small Office Equipment, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00, 114.9%,100.0%, 87.0%
Soroti Referral Hospital,Highlights of Vote Performance,222001  Telecommunications, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,222002  Postage and Courier,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,223003  Rent � (Produced Assets) to private entities, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,223004  Guard and Security services,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,223005  Electricity,0.14,0.14,0.15, 100.0%,110.0%,110.0%
Soroti Referral Hospital,Highlights of Vote Performance,223006  Water,0.14,0.14,0.14, 100.0%, 98.5%, 98.5%
Soroti Referral Hospital,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.00,0.00,0.00, 122.9%,100.0%, 81.3%
Soroti Referral Hospital,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.09,0.09,0.09, 100.0%,106.0%,106.0%
Soroti Referral Hospital,Highlights of Vote Performance,"224005  Uniforms, Beddings and Protective Gear", 0.04,0.04,0.04, 100.0%, 97.6%, 97.6%
Soroti Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.08,0.08,0.08, 100.0%,101.1%,101.1%
Soroti Referral Hospital,Highlights of Vote Performance,227002  Travel abroad,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.12,0.12,0.11, 100.0%, 96.7%, 96.7%
Soroti Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.06,0.06,0.06, 100.0%,102.2%,102.2%
Soroti Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.05,0.05,0.04, 100.0%, 96.8%, 96.8%
Soroti Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.08,0.08,0.08, 100.0%, 89.4%, 89.4%
Soroti Referral Hospital,Highlights of Vote Performance,228004  Maintenance � Other,0.03,0.03,0.03,99.5%, 99.3%, 99.8%
Soroti Referral Hospital,Highlights of Vote Performance,282104  Compensation to 3rd Parties,0.00,0.00,0.00,98.4%, 98.4%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 0.80,0.82,0.81, 102.1%,101.9%, 99.8%
Soroti Referral Hospital,Highlights of Vote Performance,231001 Non Residential buildings (Depreciation), 0.00,0.00,0.00,N/A, N/A,0.0%
Soroti Referral Hospital,Highlights of Vote Performance,231002 Residential buildings (Depreciation), 0.80,0.80,0.80, 100.1%,100.0%, 99.9%
Soroti Referral Hospital,Highlights of Vote Performance,"312204 Taxes on Machinery, Furniture & Vehicles", 0.00,0.02,0.02,N/A, N/A,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.03,0.03,0.03, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,321612 Water arrears(Budgeting), 0.02,0.02,0.02, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.01,0.01,0.01, 100.0%,100.0%,100.0%
Soroti Referral Hospital,Highlights of Vote Performance,Grand Total:,4.59,4.69,4.59, 102.2%,99.8%,97.7%
Soroti Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.56,4.65,4.54, 101.9%,99.5%,97.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.56, 4.65, 4.54, 101.9%, 99.5%,97.7%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Soroti Referral Hospital Services,3.61, 3.69, 3.60, 102.4%, 99.8%,97.4%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Soroti Referral Hospital Internal Audit,0.01, 0.01, 0.01,93.3%, 49.5%,53.1%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Soroti Regional Maintenance,0.14, 0.14, 0.13, 100.0%, 94.0%,94.0%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Soroti Rehabilitation Referral Hospital,0.80, 0.80, 0.80, 100.0%,100.0%, 100.0%
Soroti Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.56,4.65,4.54, 101.9%, 99.5%,97.7%
Lira Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,4.68, 4.96, 4.88,106.0%, 104.4%, 98.4%
Lira Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,4.68, 4.96, 4.88,106.0%, 104.4%, 98.4%
Lira Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 4.66, 4.93, 4.85, 105.7%,104.0%, 98.4%
Lira Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 3.66, 3.93, 3.85, 107.2%,105.1%, 98.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 2.92, 3.18, 3.11, 109.1%,106.6%, 97.7%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.12, 0.12, 0.12, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.03, 0.03, 0.03, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.07, 0.07, 0.07, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 0.44, 0.43, 0.43,99.6%, 98.4%, 98.8%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.08, 0.08, 0.08, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.02, 0.02, 0.02, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.00, 1.00, 1.00, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085672 Government Buildings and Administrative Infrastructure, 0.13, 0.13, 0.13, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.87, 0.87, 0.87, 100.0%,100.0%,100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 4.66, 4.93, 4.85, 105.7%,104.0%, 98.4%
Lira Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,3.66,3.93,3.85, 107.2%,105.1%,98.0%
Lira Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 2.57,2.57,2.56,99.9%, 99.7%,99.8%
Lira Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.08,0.08,0.08, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.06,0.00,N/A, N/A, 0.0%
Lira Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00, 100.0%, 99.8%,99.8%
Lira Referral Hospital,GoU Expenditure by Item,213004  Gratuity Expenses,0.00,0.21,0.19,N/A, N/A,92.7%
Lira Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.03,0.03,0.03, 100.0%,100.0%, 100.0%
